Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
316600 SENHORA DE OLIVEIRA;-;-;-;-;-;-;-;1;-;1;-;2
316630 SERICITA;-;-;-;-;-;1;-;-;-;-;-;1
316670 SERRA DOS AIMORES;1;-;-;2;1;-;2;8;-;1;1;16
316680 SERRA DO SALITRE;-;-;2;3;3;2;3;4;1;2;1;21
316690 SERRANIA;1;-;-;-;-;-;-;-;-;-;-;1
316695 SERRANOPOLIS DE MINAS;28;4;7;1;3;1;5;17;1;8;7;82
316700 SERRANOS;1;-;-;-;-;-;-;-;-;-;-;1
316710 SERRO;-;-;3;1;-;5;3;11;-;5;-;28
316720 SETE LAGOAS;24;-;-;-;-;-;-;-;-;-;5;29
316750 SIMAO PEREIRA;3;-;1;-;-;-;-;-;-;-;-;4
316760 SIMONESIA;-;-;2;1;1;1;1;4;-;-;1;11
316770 SOBRALIA;-;-;-;1;-;-;-;1;-;-;-;2
316790 TABULEIRO;-;-;-;-;-;-;1;-;-;-;1;2
316800 TAIOBEIRAS;29;2;3;1;7;2;3;15;-;5;4;71
316805 TAPARUBA;120;-;-;-;-;1;-;2;-;3;12;138
316810 TAPIRA;25;2;3;1;10;1;5;23;3;6;4;83
316850 TEIXEIRAS;2;-;1;-;-;-;-;1;-;1;-;5
316860 TEOFILO OTONI;326;-;8;10;16;17;17;36;7;14;125;576
316870 TIMOTEO;374;-;8;6;20;17;18;116;13;10;43;625
316890 TIROS;2;1;4;2;4;2;6;9;2;10;-;42
316900 TOCANTINS;1;-;-;-;-;1;-;2;1;-;-;5
316905 TOCOS DO MOJI;-;-;-;-;-;1;-;-;-;-;-;1
316910 TOLEDO;-;-;-;-;-;-;-;-;-;1;-;1
316930 TRES CORACOES;31;-;1;1;4;-;2;11;-;4;2;56
316935 TRES MARIAS;-;-;1;2;-;3;5;12;2;-;1;26
316940 TRES PONTAS;3;-;-;-;-;-;1;1;-;-;2;7
316950 TUMIRITINGA;-;-;-;-;1;-;-;-;-;-;-;1
316960 TUPACIGUARA;265;1;62;10;76;15;38;59;7;34;35;602
316970 TURMALINA;6;-;6;2;8;6;11;28;1;6;5;79
316990 UBA;49;-;4;2;4;7;21;19;2;9;4;121
317000 UBAI;9;-;-;1;1;-;1;5;-;-;1;18
317005 UBAPORANGA;2;-;-;-;-;-;1;1;-;-;-;4
317010 UBERABA;870;2;27;19;64;70;144;479;24;55;80;1834
317020 UBERLANDIA;2976;3;167;75;108;461;83;639;109;307;262;5190
317040 UNAI;2964;2;13;5;10;5;14;33;7;19;370;3442
317043 UNIAO DE MINAS;8;-;4;4;5;9;5;4;2;2;3;46
317047 URUANA DE MINAS;9;3;8;2;13;2;6;14;2;13;11;83
317050 URUCANIA;-;-;-;-;-;-;-;1;-;-;-;1
317052 URUCUIA;38;3;19;17;21;15;19;54;11;23;19;239
317057 VARGEM ALEGRE;-;-;-;-;-;-;-;-;-;1;-;1
317060 VARGEM BONITA;-;-;3;16;7;2;9;23;1;9;6;76
317065 VARGEM GRANDE DO RIO PARDO;1;1;-;-;-;-;1;2;-;1;-;6
317070 VARGINHA;26;-;1;-;-;2;2;12;1;5;2;51
317075 VARJAO DE MINAS;-;-;4;8;4;2;8;14;1;6;2;49
317080 VARZEA DA PALMA;100;2;4;12;19;24;26;53;2;6;23;271
317090 VARZELANDIA;-;1;1;3;-;1;7;4;-;-;2;19
317100 VAZANTE;-;1;8;3;12;11;8;55;4;11;5;118
317107 VEREDINHA;1;-;-;-;-;-;-;-;-;-;-;1
317110 VERISSIMO;1;-;1;1;4;7;-;4;-;1;2;21
317120 VESPASIANO;4;-;-;-;-;-;-;1;-;-;-;5
317130 VICOSA;9;-;3;2;8;2;1;11;2;8;1;47
317150 MATHIAS LOBATO;2;-;-;1;5;3;6;8;-;-;4;29
317160 VIRGEM DA LAPA;1;-;1;-;3;-;1;4;-;1;1;12
317190 VIRGOLANDIA;1;-;-;-;-;-;-;-;-;-;-;1
317200 VISCONDE DO RIO BRANCO;6;1;2;1;7;1;2;1;-;3;4;28
317210 VOLTA GRANDE;1;-;-;-;-;1;-;-;-;-;-;2
330010 ANGRA DOS REIS;200;1;-;-;5;-;4;5;-;6;14;235
330015 APERIBE;273;-;1;-;-;1;3;2;1;1;24;306
330020 ARARUAMA;9;-;-;-;-;-;-;4;-;3;5;21
330022 AREAL;1;-;-;-;-;-;-;-;-;-;-;1
330023 ARMACAO DOS BUZIOS;9;-;-;-;-;-;4;-;1;-;2;16
330025 ARRAIAL DO CABO;9;-;2;-;5;1;1;4;-;-;4;26
330030 BARRA DO PIRAI;4;-;-;-;-;-;-;-;-;-;-;4
330040 BARRA MANSA;15;-;-;-;1;1;-;1;1;-;-;19
330045 BELFORD ROXO;132;-;-;-;-;-;3;-;-;-;22;157
330050 BOM JARDIM;-;-;-;-;1;-;-;-;-;-;-;1
330060 BOM JESUS DO ITABAPOANA;14;-;-;-;-;-;-;-;-;-;-;14
330070 CABO FRIO;25;-;3;2;4;1;4;4;-;6;3;52
330080 CACHOEIRAS DE MACACU;31;-;-;-;-;-;-;2;-;-;4;37
330090 CAMBUCI;94;-;1;-;3;-;3;3;-;-;6;110
330093 CARAPEBUS;69;-;-;-;-;-;-;-;-;-;3;72
330100 CAMPOS DOS GOYTACAZES;51;-;6;16;28;1;11;66;10;19;10;218
330110 CANTAGALO;16;-;1;-;2;-;-;1;1;-;3;24
330115 CARDOSO MOREIRA;46;-;1;-;1;-;1;2;-;2;2;55
330120 CARMO;54;-;4;3;7;4;4;17;3;8;6;110
330130 CASIMIRO DE ABREU;20;1;2;-;2;1;2;2;1;-;12;43
330140 CONCEICAO DE MACABU;6;-;-;-;-;-;-;-;-;-;-;6
330150 CORDEIRO;52;-;-;-;2;1;-;3;-;2;5;65
330170 DUQUE DE CAXIAS;252;-;1;3;1;3;3;7;4;7;190;471
330180 ENGENHEIRO PAULO DE FRONTIN;1;-;-;-;-;-;-;1;-;1;-;3
330185 GUAPIMIRIM;1;-;1;-;1;-;1;1;-;1;2;8
330187 IGUABA GRANDE;80;-;2;-;1;2;2;5;2;3;9;106
330190 ITABORAI;116;-;-;3;6;2;2;8;-;3;11;151
330200 ITAGUAI;214;-;6;10;26;9;20;44;2;9;27;367
330205 ITALVA;73;-;1;1;-;-;-;4;-;-;12;91
330210 ITAOCARA;70;-;-;-;1;-;1;1;-;-;8;81
330220 ITAPERUNA;185;2;26;9;23;14;25;62;9;30;60;445
330225 ITATIAIA;19;-;-;-;-;-;-;1;-;-;-;20
330227 JAPERI;9;-;-;1;-;1;-;8;-;-;-;19
330230 LAJE DO MURIAE;13;-;3;1;1;1;2;4;2;1;2;30
330240 MACAE;960;-;3;1;5;3;5;3;-;1;242;1223
330245 MACUCO;2;-;-;-;-;-;-;-;-;-;2;4
330250 MAGE;8;-;-;1;-;-;2;-;-;-;-;11
330260 MANGARATIBA;12;-;-;-;1;-;1;3;-;-;1;18
330270 MARICA;11;-;-;-;-;-;-;-;1;-;1;13
330285 MESQUITA;4;-;-;-;-;-;4;-;-;1;-;9
330290 MIGUEL PEREIRA;2;-;2;1;-;6;3;3;-;1;-;18
330300 MIRACEMA;7;-;-;-;-;-;-;3;-;-;2;12
330310 NATIVIDADE;1;-;-;-;-;1;-;-;-;-;-;2
330320 NILOPOLIS;4;-;-;-;-;-;-;1;-;-;3;8
330330 NITEROI;34;-;-;-;-;1;2;5;1;2;5;50
330340 NOVA FRIBURGO;72;-;4;-;2;5;-;16;3;9;6;117
330350 NOVA IGUACU;19;-;1;1;2;-;1;2;-;1;11;38
330360 PARACAMBI;5;-;-;-;1;-;2;4;-;-;1;13
330370 PARAIBA DO SUL;6;-;-;-;-;-;-;-;-;-;-;6
330380 PARATY;70;-;1;4;11;4;57;36;-;7;4;194
330385 PATY DO ALFERES;4;-;-;1;-;-;1;-;-;-;-;6
330390 PETROPOLIS;19;-;1;-;-;-;-;2;-;-;5;27
330395 PINHEIRAL;3;-;-;-;-;-;-;-;-;-;-;3
330400 PIRAI;13;-;2;1;2;3;6;14;2;2;2;47
330410 PORCIUNCULA;19;-;-;-;-;-;-;4;1;1;-;25
330411 PORTO REAL;3;-;1;-;-;-;-;-;-;-;-;4
330412 QUATIS;14;-;-;2;2;-;3;5;1;1;-;28
330414 QUEIMADOS;1;-;-;-;-;-;-;-;-;-;-;1
330415 QUISSAMA;66;-;4;4;4;7;12;24;3;3;7;134
330420 RESENDE;174;-;2;-;1;-;1;20;3;14;39;254
330430 RIO BONITO;4;-;-;1;-;-;-;-;-;-;1;6
330440 RIO CLARO;1;-;-;-;-;-;-;-;-;-;-;1
330450 RIO DAS FLORES;2;-;-;-;-;-;-;-;-;-;-;2
330452 RIO DAS OSTRAS;244;-;1;3;2;2;2;7;-;2;37;300
330455 RIO DE JANEIRO;2355;7;251;50;121;239;267;781;124;245;362;4802
330460 SANTA MARIA MADALENA;-;1;1;1;1;1;2;1;-;-;-;8
330470 SANTO ANTONIO DE PADUA;100;-;4;2;2;2;5;22;3;4;15;159
330475 SAO FRANCISCO DE ITABAPOANA;3;-;-;-;-;-;-;-;-;-;-;3
330480 SAO FIDELIS;9;-;-;-;-;-;-;-;-;-;-;9
330490 SAO GONCALO;10;-;2;-;-;-;-;1;-;1;8;22
330500 SAO JOAO DA BARRA;3;-;-;-;-;-;-;1;-;-;-;4
330510 SAO JOAO DE MERITI;7;-;-;1;1;-;-;4;-;-;5;18
330513 SAO JOSE DE UBA;54;-;-;-;4;-;3;2;-;2;6;71
330520 SAO PEDRO DA ALDEIA;18;-;2;-;2;-;-;-;-;1;6;29
330530 SAO SEBASTIAO DO ALTO;2;-;2;-;-;-;1;1;-;1;1;8
330540 SAPUCAIA;1;-;-;-;-;-;-;-;-;-;-;1
330550 SAQUAREMA;4;-;-;-;-;-;-;1;-;-;-;5
330555 SEROPEDICA;115;-;-;-;-;-;-;-;-;-;7;122
330560 SILVA JARDIM;3;-;-;-;-;-;-;-;-;-;-;3
330575 TANGUA;2;-;-;-;1;-;1;-;-;-;-;4
330580 TERESOPOLIS;3;-;-;-;-;-;-;1;-;-;-;4
330590 TRAJANO DE MORAES;6;-;-;-;-;-;-;-;-;-;-;6
330600 TRES RIOS;5;-;-;-;-;-;-;-;-;-;1;6
330610 VALENCA;2;-;1;1;2;5;5;26;3;3;1;49
330615 VARRE-SAI;-;-;-;-;1;1;1;-;-;-;-;3
330620 VASSOURAS;39;-;-;3;1;-;1;2;-;6;-;52
330630 VOLTA REDONDA;9;-;-;-;-;1;1;1;-;-;1;13
350010 ADAMANTINA;7;5;37;55;149;193;75;566;31;180;42;1340
350020 ADOLFO;79;-;16;7;4;3;10;21;4;14;2;160
350030 AGUAI;1;-;-;-;2;-;1;2;-;1;1;8
350050 AGUAS DE LINDOIA;15;-;-;-;2;1;2;-;-;1;1;22
350055 AGUAS DE SANTA BARBARA;27;-;1;-;5;1;4;6;-;3;4;51
350060 AGUAS DE SAO PEDRO;5;-;-;2;7;3;6;12;1;6;1;43
350070 AGUDOS;115;-;14;5;8;4;10;45;2;12;7;222
350075 ALAMBARI;-;-;-;-;-;-;-;1;-;-;-;1
350080 ALFREDO MARCONDES;8;4;32;9;21;27;27;90;6;20;2;246
350090 ALTAIR;8;-;1;2;3;2;2;13;-;2;1;34
350100 ALTINOPOLIS;11;-;-;-;-;-;-;-;-;-;-;11
350110 ALTO ALEGRE;85;2;45;22;35;19;11;85;1;18;12;335
350115 ALUMINIO;-;-;-;-;2;-;-;2;-;-;-;4
350120 ALVARES FLORENCE;21;4;37;36;35;50;41;139;7;42;18;430
350130 ALVARES MACHADO;276;-;14;15;32;11;23;66;7;23;11;478
350140 ALVARO DE CARVALHO;68;-;4;2;9;7;6;21;-;2;4;123
350150 ALVINLANDIA;5;-;-;-;4;2;-;4;1;2;1;19
350160 AMERICANA;5141;-;9;6;5;12;6;40;4;8;405;5636
350170 AMERICO BRASILIENSE;2908;1;22;7;12;6;15;42;4;17;98;3132
350180 AMERICO DE CAMPOS;46;4;40;26;28;60;44;132;13;45;15;453
350190 AMPARO;21;-;1;-;7;5;3;21;6;17;6;87
350200 ANALANDIA;66;1;2;-;3;-;-;12;-;3;6;93
350210 ANDRADINA;5;-;176;130;182;121;307;798;71;185;103;2078
350220 ANGATUBA;-;-;-;-;1;-;1;5;-;1;-;8
350230 ANHEMBI;-;1;1;-;-;1;-;1;-;1;-;5
350240 ANHUMAS;194;-;8;6;8;2;2;18;1;9;4;252
350250 APARECIDA;20;-;-;-;3;1;2;5;1;6;-;38
350260 APARECIDA D'OESTE;56;6;44;31;54;17;32;91;10;34;13;388
350270 APIAI;2;-;-;-;1;-;-;1;-;1;-;5
350275 ARACARIGUAMA;3;-;-;-;-;1;-;-;-;-;-;4
350280 ARACATUBA;1382;2;84;40;136;71;146;585;68;296;320;3130
350290 ARACOIABA DA SERRA;9;-;-;-;1;-;-;1;-;-;3;14
350300 ARAMINA;2;-;-;-;1;1;4;3;1;1;1;14
350320 ARARAQUARA;18936;9;90;91;141;91;149;548;81;318;1280;21734
350330 ARARAS;1188;12;122;83;188;131;169;697;56;193;90;2929
350335 ARCO-IRIS;-;3;12;9;15;11;5;31;-;8;2;96
350340 AREALVA;37;-;2;-;-;-;-;1;-;2;-;42
350350 AREIAS;1;-;-;-;-;-;-;2;-;1;-;4
350360 AREIOPOLIS;-;-;1;1;-;1;-;6;-;3;-;12
350370 ARIRANHA;1;-;5;4;10;1;7;18;4;9;-;59
350380 ARTUR NOGUEIRA;186;2;13;8;14;3;9;34;5;7;3;284
350390 ARUJA;37;-;2;5;9;3;15;66;4;8;7;156
350395 ASPASIA;111;1;4;4;11;9;9;48;3;15;8;223
350400 ASSIS;123;3;17;14;45;32;28;161;23;98;31;575
350410 ATIBAIA;992;-;15;6;17;12;12;35;2;10;172;1273
350420 AURIFLAMA;262;1;4;5;7;4;4;17;6;17;17;344
350430 AVAI;17;-;1;-;1;2;2;8;1;2;5;39
350440 AVANHANDAVA;258;-;-;-;-;1;-;1;-;-;41;301
350450 AVARE;44;2;1;1;8;5;3;23;2;4;1;94
350460 BADY BASSITT;516;1;3;3;8;5;18;38;2;5;28;627
350470 BALBINOS;-;-;-;-;-;-;1;2;-;1;1;5
350480 BALSAMO;-;2;12;16;37;29;29;106;6;32;10;279
350490 BANANAL;1;-;-;-;-;-;-;-;-;1;-;2
350500 BARAO DE ANTONINA;1;-;4;6;11;17;8;31;3;5;7;93
350510 BARBOSA;366;-;13;7;29;11;24;55;3;18;37;563
350520 BARIRI;1;-;-;2;-;-;1;3;1;1;-;9
350530 BARRA BONITA;38;-;25;18;27;24;27;86;15;61;4;325
350540 BARRA DO TURVO;5;-;-;1;1;1;1;1;-;-;-;10
350550 BARRETOS;904;2;48;46;85;74;150;534;41;96;148;2128
350560 BARRINHA;358;-;4;1;11;3;6;18;1;4;41;447
350570 BARUERI;42;-;2;3;4;2;4;31;1;7;7;103
350580 BASTOS;80;2;60;29;87;49;51;204;7;39;34;642
350590 BATATAIS;1122;-;16;-;26;14;41;45;8;13;68;1353
350600 BAURU;2530;3;68;55;125;117;146;524;79;126;262;4035
350610 BEBEDOURO;330;-;11;13;15;18;18;98;6;21;58;588
350620 BENTO DE ABREU;27;-;5;1;4;2;3;15;3;4;-;64
350630 BERNARDINO DE CAMPOS;3;-;-;-;-;-;1;2;-;-;-;6
350635 BERTIOGA;84;-;1;1;10;2;8;23;-;4;11;144
350640 BILAC;133;-;-;-;-;4;2;5;-;1;8;153
350650 BIRIGUI;3303;19;384;238;762;354;843;2523;206;371;685;9688
350660 BIRITIBA-MIRIM;30;-;3;-;1;4;1;11;2;1;5;58
350670 BOA ESPERANCA DO SUL;64;5;44;56;64;79;117;234;15;64;81;823
350680 BOCAINA;183;-;5;-;3;3;5;8;1;4;6;218
350690 BOFETE;-;-;1;-;-;-;-;1;1;-;-;3
350700 BOITUVA;53;2;4;1;3;4;5;3;2;5;3;85
350710 BOM JESUS DOS PERDOES;12;-;-;-;1;-;-;1;-;-;-;14
350715 BOM SUCESSO DE ITARARE;-;-;-;-;-;-;1;-;-;-;-;1
350720 BORA;48;-;7;2;1;1;1;1;1;2;-;64
350730 BORACEIA;1;6;4;2;-;1;-;2;1;1;-;18
350740 BORBOREMA;435;9;171;131;108;78;118;348;21;59;80;1558
350745 BOREBI;77;1;11;7;16;5;6;20;2;5;6;156
350750 BOTUCATU;1;-;14;1;38;10;17;106;24;96;13;320
350760 BRAGANCA PAULISTA;74;-;7;5;15;12;15;88;7;34;8;265
350770 BRAUNA;276;-;-;-;-;-;-;-;-;1;10;287
350775 BREJO ALEGRE;1;3;26;35;21;14;9;28;5;10;6;158
350780 BRODOWSKI;1;-;3;6;2;4;-;27;-;6;3;52
350790 BROTAS;299;2;6;7;8;8;8;22;6;12;26;404
350800 BURI;-;-;-;1;-;-;-;3;-;1;2;7
350810 BURITAMA;125;23;204;106;188;92;147;475;44;157;104;1665
350820 BURITIZAL;43;-;-;-;1;1;-;1;-;2;1;49
350830 CABRALIA PAULISTA;6;-;4;1;1;-;8;16;1;3;2;42
350840 CABREUVA;8;-;2;2;2;1;3;7;1;7;-;33
350850 CACAPAVA;78;-;2;-;3;-;3;8;2;5;3;104
350860 CACHOEIRA PAULISTA;3;-;-;1;1;2;-;3;2;1;-;13
350870 CACONDE;3;-;-;-;-;-;1;-;1;-;-;5
350880 CAFELANDIA;43;-;-;3;5;3;1;6;1;2;4;68
350890 CAIABU;2;-;11;11;10;3;8;28;-;4;-;77
350900 CAIEIRAS;61;-;3;1;4;6;8;74;8;17;13;195
350910 CAIUA;2;-;2;2;6;4;3;23;-;7;2;51
350920 CAJAMAR;1;-;1;3;7;16;26;46;5;5;6;116
350925 CAJATI;2;-;-;-;-;-;-;1;-;1;-;4
350930 CAJOBI;22;3;34;21;17;26;19;45;7;30;5;229
350940 CAJURU;102;-;2;1;3;1;3;3;1;4;11;131
350950 CAMPINAS;11031;3;23;26;84;40;74;403;90;165;589;12528
350960 CAMPO LIMPO PAULISTA;35;1;1;3;1;1;1;1;2;2;-;48
350970 CAMPOS DO JORDAO;1;-;-;1;-;-;1;1;1;2;-;7
350980 CAMPOS NOVOS PAULISTA;77;-;8;9;11;6;11;52;9;19;10;212
350995 CANAS;-;-;-;-;-;-;-;1;-;-;-;1
351000 CANDIDO MOTA;4;1;2;2;3;2;3;23;3;7;3;53
351010 CANDIDO RODRIGUES;72;-;5;-;1;-;-;2;-;-;3;83
351015 CANITAR;23;3;3;2;4;5;13;10;1;7;-;71
351020 CAPAO BONITO;-;1;2;1;3;1;2;6;1;8;1;26
351030 CAPELA DO ALTO;1;-;5;-;-;-;2;5;-;1;10;24
351040 CAPIVARI;5;2;6;6;21;9;9;79;5;20;10;172
351050 CARAGUATATUBA;290;1;3;4;8;2;13;31;1;11;28;392
351060 CARAPICUIBA;6;1;-;1;2;2;7;27;2;14;4;66
351070 CARDOSO;7;-;11;10;20;14;21;102;5;15;10;215
351080 CASA BRANCA;1;-;-;-;1;1;-;2;-;2;-;7
351090 CASSIA DOS COQUEIROS;14;-;-;-;-;-;1;1;-;-;1;17
351100 CASTILHO;229;-;18;23;55;24;39;85;9;18;41;541
351110 CATANDUVA;1629;12;132;75;246;125;276;1123;80;354;273;4325
351120 CATIGUA;83;1;16;9;14;6;28;68;3;12;7;247
351130 CEDRAL;139;2;38;28;60;30;90;196;30;43;25;681
351140 CERQUEIRA CESAR;1;-;1;-;3;-;-;3;-;3;-;11
351150 CERQUILHO;80;-;6;11;14;13;14;59;13;32;2;244
351160 CESARIO LANGE;90;1;6;1;13;5;11;27;3;13;14;184
351170 CHARQUEADA;148;10;39;26;47;30;45;125;9;32;30;541
351190 CLEMENTINA;242;-;-;-;-;1;-;1;-;-;9;253
351200 COLINA;109;-;-;-;3;-;1;4;-;2;5;124
351210 COLOMBIA;1;-;21;3;39;13;30;76;4;11;5;203
351220 CONCHAL;15;-;1;4;3;2;-;6;1;2;1;35
351230 CONCHAS;-;-;-;-;1;-;-;1;-;1;-;3
351240 CORDEIROPOLIS;330;-;5;7;12;8;17;45;2;33;44;503
351250 COROADOS;12;2;21;31;40;45;64;171;7;32;31;456
351270 CORUMBATAI;6;-;1;-;1;-;-;4;1;-;-;13
351280 COSMOPOLIS;196;2;17;11;31;19;15;66;12;18;20;407
351290 COSMORAMA;223;-;-;-;3;1;-;3;-;5;13;248
351300 COTIA;31;2;7;12;27;22;24;100;7;11;12;255
351310 CRAVINHOS;507;1;3;3;1;2;3;17;-;4;13;554
351320 CRISTAIS PAULISTA;22;-;1;-;-;-;-;-;-;2;-;25
351330 CRUZALIA;-;-;1;2;5;4;1;9;1;3;-;26
351340 CRUZEIRO;8;-;-;-;1;-;1;4;-;1;-;15
351350 CUBATAO;90;-;-;-;1;-;-;-;-;-;24;115
351360 CUNHA;-;-;1;-;-;-;-;-;-;-;-;1
351370 DESCALVADO;670;4;3;7;17;23;25;37;6;12;31;835
351380 DIADEMA;66;-;5;6;8;3;21;45;5;8;10;177
351385 DIRCE REIS;9;5;75;4;40;5;11;31;2;47;10;239
351390 DIVINOLANDIA;-;-;1;-;2;1;1;1;-;3;-;9
351400 DOBRADA;32;3;28;7;22;12;29;125;5;19;5;287
351410 DOIS CORREGOS;13;1;3;5;9;9;5;15;1;1;-;62
351420 DOLCINOPOLIS;190;-;3;3;9;3;8;13;3;11;3;246
351430 DOURADO;137;-;2;1;5;1;7;30;5;21;17;226
351440 DRACENA;875;3;56;32;74;48;73;486;14;79;78;1818
351450 DUARTINA;85;7;74;48;67;63;43;205;8;34;7;641
351460 DUMONT;99;-;6;2;7;2;10;28;-;7;7;168
351470 ECHAPORA;17;-;3;1;-;-;1;2;-;4;1;29
351490 ELIAS FAUSTO;-;-;1;-;3;-;4;2;-;1;1;12
351492 ELISIARIO;11;4;20;21;31;19;21;82;3;13;4;229
351495 EMBAUBA;-;2;17;39;41;21;23;85;-;11;9;248
351500 EMBU DAS ARTES;7;-;1;1;1;3;2;6;-;3;-;24
351510 EMBU-GUACU;-;1;-;-;-;-;-;3;-;-;-;4
351512 EMILIANOPOLIS;-;-;4;-;2;1;-;8;-;1;2;18
351515 ENGENHEIRO COELHO;26;-;1;-;2;-;2;2;1;3;1;38
351518 ESPIRITO SANTO DO PINHAL;239;1;58;24;61;44;36;134;5;50;32;684
351519 ESPIRITO SANTO DO TURVO;94;1;7;8;16;5;27;52;8;10;16;244
351520 ESTRELA D'OESTE;-;-;27;48;77;61;47;61;27;34;8;390
351530 ESTRELA DO NORTE;29;-;-;-;-;-;-;1;-;-;2;32
351535 EUCLIDES DA CUNHA PAULISTA;328;3;42;17;38;19;37;153;7;15;37;696
351540 FARTURA;1;-;7;5;2;8;18;30;2;1;2;76
351550 FERNANDOPOLIS;186;8;42;27;76;58;72;290;33;80;56;928
351560 FERNANDO PRESTES;25;-;8;1;5;1;12;18;3;10;3;86
351565 FERNAO;5;-;2;-;1;1;-;9;1;1;3;23
351570 FERRAZ DE VASCONCELOS;120;-;4;1;1;1;10;57;3;1;10;208
351590 FLOREAL;2;-;15;21;7;44;9;134;1;41;3;277
351600 FLORIDA PAULISTA;13;2;21;8;28;39;39;53;5;12;7;227
351610 FLORINIA;3;-;-;-;-;-;-;2;-;2;-;7
351620 FRANCA;6675;2;35;41;45;37;66;195;17;85;342;7540
351630 FRANCISCO MORATO;3;-;1;3;6;1;8;21;3;3;2;51
351640 FRANCO DA ROCHA;96;-;-;-;-;-;1;2;-;1;9;109
351650 GABRIEL MONTEIRO;319;-;8;26;19;20;7;32;3;15;15;464
351660 GALIA;64;2;32;4;22;8;17;112;8;29;9;307
351670 GARCA;4373;5;96;79;220;502;625;1460;138;132;385;8015
351680 GASTAO VIDIGAL;1;6;68;25;70;6;9;23;16;54;9;287
351685 GAVIAO PEIXOTO;281;-;1;-;2;-;-;-;1;2;11;298
351690 GENERAL SALGADO;981;-;20;34;32;25;27;61;5;41;52;1278
351700 GETULINA;-;-;-;1;2;1;1;27;1;1;1;35
351710 GLICERIO;10;1;63;7;31;49;27;93;3;20;17;321
351720 GUAICARA;68;-;1;-;-;-;1;-;-;1;2;73
351730 GUAIMBE;6;5;2;1;9;8;39;41;4;9;1;125
351740 GUAIRA;417;-;-;1;4;-;-;-;-;2;30;454
351750 GUAPIACU;-;2;65;20;50;62;75;73;7;25;12;391
351760 GUAPIARA;-;-;-;-;-;-;1;-;-;-;-;1
351770 GUARA;12;-;-;-;-;-;-;3;-;1;-;16
351780 GUARACAI;1122;1;23;22;30;14;39;128;1;15;83;1478
351790 GUARACI;80;1;4;2;2;-;3;14;1;4;5;116
351800 GUARANI D'OESTE;5;-;2;2;1;2;9;17;1;5;3;47
351810 GUARANTA;1;-;1;1;5;1;-;8;-;2;1;20
351820 GUARARAPES;182;5;33;24;64;52;56;261;7;62;38;784
351830 GUARAREMA;40;2;17;8;22;10;12;59;8;10;75;263
351840 GUARATINGUETA;45;-;2;1;4;3;7;21;3;12;2;100
351850 GUAREI;1;-;1;1;-;-;-;1;-;-;-;4
351860 GUARIBA;788;-;5;6;37;68;71;99;9;6;34;1123
351870 GUARUJA;48;-;-;-;2;1;4;9;-;9;7;80
351880 GUARULHOS;405;2;27;15;48;36;53;206;14;37;60;903
351885 GUATAPARA;61;2;11;3;8;2;6;31;2;4;8;138
351890 GUZOLANDIA;7;4;11;6;7;3;3;22;1;9;3;76
351900 HERCULANDIA;71;1;17;12;26;16;15;63;2;3;11;237
351905 HOLAMBRA;82;-;4;9;13;3;7;20;6;13;7;164
351907 HORTOLANDIA;556;-;80;4;9;1;8;136;24;27;64;909
351910 IACANGA;140;-;2;1;7;3;2;10;1;6;3;175
351920 IACRI;309;-;2;1;1;-;1;6;-;4;19;343
351925 IARAS;8;4;9;23;28;18;14;113;2;22;13;254
351930 IBATE;82;10;70;59;152;116;184;543;25;41;67;1349
351940 IBIRA;481;2;27;7;26;19;37;109;8;26;31;773
351950 IBIRAREMA;5;-;1;-;-;-;1;4;-;-;2;13
351960 IBITINGA;340;3;12;12;23;13;18;54;4;15;17;511
351970 IBIUNA;2;-;1;-;-;-;-;3;-;1;-;7
351980 ICEM;1;-;7;11;20;16;18;71;5;6;11;166
351990 IEPE;9;-;6;3;4;6;17;56;4;10;4;119
352000 IGARACU DO TIETE;6;2;3;2;3;5;2;13;1;3;-;40
352010 IGARAPAVA;60;-;-;-;3;2;1;-;-;1;3;70
352020 IGARATA;1;-;-;-;-;-;-;3;-;-;-;4
352030 IGUAPE;1;-;1;-;-;-;-;5;1;-;1;9
352040 ILHABELA;31;6;16;15;48;17;35;177;31;58;46;480
352042 ILHA COMPRIDA;-;-;-;-;-;-;2;1;-;1;-;4
352044 ILHA SOLTEIRA;33;-;2;-;2;2;-;7;4;8;1;59
352050 INDAIATUBA;750;9;29;32;72;44;73;269;36;63;80;1457
352060 INDIANA;177;-;1;1;5;6;5;8;1;1;7;212
352070 INDIAPORA;-;-;2;1;1;1;1;2;2;4;-;14
352080 INUBIA PAULISTA;113;3;10;14;10;10;17;62;7;14;4;264
352090 IPAUSSU;1;-;1;-;5;3;2;13;1;4;-;30
352100 IPERO;17;-;-;1;1;-;-;-;-;-;2;21
352110 IPEUNA;43;1;-;1;-;-;-;1;1;-;-;47
352115 IPIGUA;4;-;1;-;3;2;3;17;-;1;1;32
352130 IPUA;46;-;-;-;1;3;1;20;1;10;1;83
352140 IRACEMAPOLIS;37;-;2;3;2;1;5;13;2;7;3;75
352150 IRAPUA;27;1;1;1;-;-;-;4;-;1;1;36
352160 IRAPURU;7;-;6;3;11;19;15;58;3;15;8;145
